run_date,code,name,close,market_cap_억원,stock_return_pct,kospi_return_pct,rs_index,ma20,ma20_gap_pct,volatility_contraction,price_change_5d_pct,ma120,avg_volume_55,avg_volume_10,volume_change_pct,industry,core_theme,etf_trend_good,etf_names,etf_details,source_url
2026-08-31,005930,삼성전자,260000,15200324,49.86,29.86,115.40,254075.00,2.33,X,+1.17,257111.67,30356725,22364338,-26.33,반도체와반도체장비,피지컬 AI/휴머노이드 로봇 / IT 대표주 / S7(삼성전자/SK하이닉스 등),3개통과,"KODEX 200 · 편입상위
TIGER 200 · 편입상위
TIGER 반도체TOP10 · 편입상위","KODEX 200 (편입상위, 비중 35.37%, 20일선 +2.89%)
TIGER 200 (편입상위, 비중 35.40%, 20일선 +2.92%)
TIGER 반도체TOP10 (편입상위, 비중 31.53%, 20일선 +2.97%)",https://finance.naver.com/item/main.naver?code=005930
2026-08-31,085620,미래에셋생명,21550,29131,49.65,29.86,115.24,21344.00,0.97,X,-17.43,18540.83,1300853,562626,-56.75,생명보험,생명보험,1개통과,KODEX 보험 · 편입상위,"KODEX 보험 (편입상위, 비중 2.29%, 20일선 +5.73%)",https://finance.naver.com/item/main.naver?code=085620
2026-08-31,066575,LG전자우,75300,352645,45.93,29.86,112.38,68975.00,9.17,X,+9.29,66634.17,153851,66619,-56.70,전자제품,개별 테마 확인 필요,1개통과,TIGER 우선주 · 편입상위,"TIGER 우선주 (편입상위, 비중 5.79%, 20일선 +1.50%)",https://finance.naver.com/item/main.naver?code=066575
2026-08-31,028050,삼성E&A,47100,92316,43.16,29.86,110.24,47955.00,-1.78,X,+5.13,46282.08,2247967,1490812,-33.68,건설,전후 재건(우크라/중동 전쟁 등) / 수자원(양적/질적 개선),3개통과,"KODEX 삼성그룹 · 편입상위
KODEX 삼성그룹밸류 · 편입상위
KODEX 건설 · 편입상위","KODEX 삼성그룹 (편입상위, 비중 2.10%, 20일선 +4.71%)
KODEX 삼성그룹밸류 (편입상위, 비중 7.51%, 20일선 +2.92%)
KODEX 건설 (편입상위, 비중 23.37%, 20일선 +4.04%)",https://finance.naver.com/item/main.naver?code=028050
2026-08-31,007070,GS리테일,26350,22030,42.74,29.86,109.92,26635.00,-1.07,X,-2.41,24156.17,199305,143232,-28.13,백화점과일반상점,편의점 / 홈쇼핑 / 소매유통,2개통과,"TIGER LG그룹플러스 · 편입상위
TRUSTON 코리아밸류업액티브 · 편입상위","TIGER LG그룹플러스 (편입상위, 비중 3.31%, 20일선 +5.56%)
TRUSTON 코리아밸류업액티브 (편입상위, 비중 2.90%, 20일선 +1.50%)",https://finance.naver.com/item/main.naver?code=007070
2026-08-31,008060,대덕,16190,5065,41.52,29.86,108.98,15483.50,4.56,O,+4.93,16108.75,102976,61379,-40.39,전자장비와기기,지주사,0개통과,,,https://finance.naver.com/item/main.naver?code=008060
2026-08-31,000810,삼성화재,665000,296905,40.15,29.86,107.92,640550.00,3.82,X,+4.56,571387.50,138941,103253,-25.69,손해보험,손해보험 / 밸류업(25년 기업가치 제고계획 발표) / 코리아 밸류업 지수(Korea Value-up Index),3개통과,"KODEX 삼성그룹 · 편입상위
KODEX 금융고배당TOP10타겟위클리커버드콜 · 편입상위
TIGER 은행고배당플러스TOP10 · 편입상위","KODEX 삼성그룹 (편입상위, 비중 5.99%, 20일선 +4.71%)
KODEX 금융고배당TOP10타겟위클리커버드콜 (편입상위, 비중 10.52%, 20일선 +2.19%)
TIGER 은행고배당플러스TOP10 (편입상위, 비중 4.81%, 20일선 +2.73%)",https://finance.naver.com/item/main.naver?code=000810
2026-08-31,028260,삼성물산,376500,610560,39.19,29.86,107.18,358650.00,4.98,X,+3.29,363975.00,616962,398959,-35.33,복합기업,S7(삼성전자/SK하이닉스 등) / 모듈러주택 / 자원개발,3개통과,"KODEX 200 · 편입상위
TIGER 200 · 편입상위
KODEX 200TR · 편입상위","KODEX 200 (편입상위, 비중 1.03%, 20일선 +2.89%)
TIGER 200 (편입상위, 비중 1.03%, 20일선 +2.92%)
KODEX 200TR (편입상위, 비중 1.03%, 20일선 +2.81%)",https://finance.naver.com/item/main.naver?code=028260
2026-08-31,021240,코웨이,96900,68573,34.21,29.86,103.35,96290.00,0.63,X,-0.62,87535.00,217458,148865,-31.54,가정용기기와용품,제습기 / 여름 / 밸류업(25년 기업가치 제고계획 발표),3개통과,"BNK 주주가치액티브 · 편입상위
KIWOOM 블루칩 · 편입상위
KODEX 경기소비재 · 편입상위","BNK 주주가치액티브 (편입상위, 비중 2.64%, 20일선 +0.87%)
KIWOOM 블루칩 (편입상위, 비중 2.79%, 20일선 +2.49%)
KODEX 경기소비재 (편입상위, 비중 13.42%, 20일선 +4.44%)",https://finance.naver.com/item/main.naver?code=021240
2026-08-31,003550,LG,119400,180523,33.71,29.86,102.96,110600.00,7.96,X,+5.20,103200.00,448787,291769,-34.99,복합기업,밸류업(24년 기업가치 제고계획 발표) / 지주사 / 스마트팩토리(스마트공장),3개통과,"TIGER 200 IT · 편입상위
TIGER 200IT레버리지 · 편입상위
TIGER 지주회사 · 편입상위","TIGER 200 IT (편입상위, 비중 1.73%, 20일선 +4.39%)
TIGER 200IT레버리지 (편입상위, 비중 3.49%, 20일선 +6.79%)
TIGER 지주회사 (편입상위, 비중 7.82%, 20일선 +4.84%)",https://finance.naver.com/item/main.naver?code=003550
2026-08-31,282330,BGF리테일,147800,25545,27.97,29.86,98.54,141760.00,4.26,X,+1.30,129721.67,88247,69414,-21.34,백화점과일반상점,편의점 / 밸류업(25년 기업가치 제고계획 발표) / 소매유통,2개통과,"RISE K엔터&여행레저 · 편입상위
TIGER 우량가치 · 편입상위","RISE K엔터&여행레저 (편입상위, 비중 4.85%, 20일선 +0.04%)
TIGER 우량가치 (편입상위, 비중 2.28%, 20일선 +2.15%)",https://finance.naver.com/item/main.naver?code=282330
2026-08-31,073240,금호타이어,7360,21142,26.46,29.86,97.38,7426.00,-0.89,O,+2.36,5915.58,6926345,3380730,-51.19,자동차부품,타이어,3개통과,"KODEX 자동차 · 편입상위
KODEX 200동일가중 · 편입상위
TIGER 200동일가중 · 편입상위","KODEX 자동차 (편입상위, 비중 2.08%, 20일선 -2.92%)
KODEX 200동일가중 (편입상위, 비중 0.87%, 20일선 +3.22%)
TIGER 200동일가중 (편입상위, 비중 0.87%, 20일선 +3.35%)",https://finance.naver.com/item/main.naver?code=073240
2026-08-31,086790,하나금융지주,136300,373963,26.32,29.86,97.28,130505.00,4.44,X,+5.91,121690.83,891192,694524,-22.07,은행,밸류업(24년 기업가치 제고계획 발표) / STO(토큰증권 발행) / 토스(toss),3개통과,"KODEX 200 · 편입상위
TIGER 200 · 편입상위
KODEX 200TR · 편입상위","KODEX 200 (편입상위, 비중 0.86%, 20일선 +2.89%)
TIGER 200 (편입상위, 비중 0.87%, 20일선 +2.92%)
KODEX 200TR (편입상위, 비중 0.86%, 20일선 +2.81%)",https://finance.naver.com/item/main.naver?code=086790
2026-08-31,051900,LG생활건강,313000,46873,25.70,29.86,96.80,309025.00,1.29,X,-0.95,259145.83,82041,70855,-13.63,화장품,밸류업(24년 기업가치 제고계획 발표) / 여름 / 음식료업종,2개통과,"TIGER 화장품 · 편입상위
TIGER LG그룹플러스 · 편입상위
TIGER 중국소비테마 · 편입상위","TIGER 화장품 (편입상위, 비중 9.58%, 20일선 +13.08%)
TIGER LG그룹플러스 (편입상위, 비중 4.81%, 20일선 +5.56%)
TIGER 중국소비테마 (편입상위, 비중 5.63%, 20일선 +6.60%)",https://finance.naver.com/item/main.naver?code=051900
2026-08-31,003490,대한항공,28100,103470,25.45,29.86,96.60,26642.50,5.47,X,+8.08,25905.42,2874326,2984696,+3.84,항공사,환율하락 수혜 / UAM(도심항공모빌리티) / 밸류업(24년 기업가치 제고계획 발표),3개통과,"TIGER 여행레저 · 편입상위
RISE K엔터&여행레저 · 편입상위
KODEX 운송 · 편입상위","TIGER 여행레저 (편입상위, 비중 9.84%, 20일선 +3.98%)
RISE K엔터&여행레저 (편입상위, 비중 13.11%, 20일선 +0.04%)
KODEX 운송 (편입상위, 비중 20.49%, 20일선 +2.31%)",https://finance.naver.com/item/main.naver?code=003490
2026-08-31,064400,LG씨엔에스,77200,74795,25.32,29.86,96.51,73525.00,5.00,X,+6.78,74154.17,1264127,779361,-38.35,IT서비스,SI(시스템통합) / 스마트팩토리(스마트공장) / 클라우드 컴퓨팅,3개통과,"RISE AI&로봇 · 편입상위
TIGER 소프트웨어 · 편입상위
ACE 코리아AI테크핵심산업 · 편입상위","RISE AI&로봇 (편입상위, 비중 5.43%, 20일선 -2.31%)
TIGER 소프트웨어 (편입상위, 비중 5.70%, 20일선 -0.14%)
ACE 코리아AI테크핵심산업 (편입상위, 비중 4.42%, 20일선 +3.74%)",https://finance.naver.com/item/main.naver?code=064400
2026-08-31,017670,SK텔레콤,94200,202332,24.27,29.86,95.70,94270.00,-0.07,X,-7.92,92192.50,1599298,1517742,-5.10,무선통신서비스,통신 / 자율주행차 / UAM(도심항공모빌리티),3개통과,"TIME Korea플러스배당액티브 · 편입상위
TIME 코스피액티브 · 편입상위
TIGER 경기방어 · 편입상위","TIME Korea플러스배당액티브 (편입상위, 비중 3.51%, 20일선 +2.13%)
TIME 코스피액티브 (편입상위, 비중 2.06%, 20일선 +3.24%)
TIGER 경기방어 (편입상위, 비중 9.11%, 20일선 +1.87%)",https://finance.naver.com/item/main.naver?code=017670
2026-08-31,055550,신한지주,108900,511231,23.05,29.86,94.76,105800.00,2.93,X,+5.42,99345.00,1403782,1035325,-26.25,은행,밸류업(24년 기업가치 제고계획 발표) / STO(토큰증권 발행) / 지주사,3개통과,"KODEX 200 · 편입상위
TIGER 200 · 편입상위
KODEX 200TR · 편입상위","KODEX 200 (편입상위, 비중 1.14%, 20일선 +2.89%)
TIGER 200 (편입상위, 비중 1.16%, 20일선 +2.92%)
KODEX 200TR (편입상위, 비중 1.14%, 20일선 +2.81%)",https://finance.naver.com/item/main.naver?code=055550
2026-08-31,078935,GS우,65500,118070,22.66,29.86,94.46,61750.00,6.07,X,+4.80,55862.50,8106,6742,-16.82,석유와가스,개별 테마 확인 필요,0개통과,,,https://finance.naver.com/item/main.naver?code=078935
2026-08-31,453340,현대그린푸드,18900,6137,21.70,29.86,93.72,18585.00,1.69,X,-1.25,17244.83,46680,36173,-22.51,식품,밸류업(24년 기업가치 제고계획 발표) / 음식료업종,0개통과,,,https://finance.naver.com/item/main.naver?code=453340
2026-08-31,010955,S-Oil우,69800,168986,21.60,29.86,93.64,66510.00,4.95,X,+4.18,58804.17,20551,15847,-22.89,석유와가스,개별 테마 확인 필요,0개통과,,,https://finance.naver.com/item/main.naver?code=010955
2026-08-31,105560,KB금융,173300,614673,21.53,29.86,93.59,168275.00,2.99,X,+6.25,160404.17,1420417,1089544,-23.29,은행,밸류업(24년 기업가치 제고계획 발표) / STO(토큰증권 발행) / 지주사,3개통과,"KODEX 200 · 편입상위
TIGER 200 · 편입상위
KODEX 200TR · 편입상위","KODEX 200 (편입상위, 비중 1.35%, 20일선 +2.89%)
TIGER 200 (편입상위, 비중 1.35%, 20일선 +2.92%)
KODEX 200TR (편입상위, 비중 1.35%, 20일선 +2.81%)",https://finance.naver.com/item/main.naver?code=105560
